Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
whz,60.9,Female,60.9_2,5.92453735,0.106105291,-0.055014177,4.817815899,4.979888322,5.516128117,5.92453735,6.36497808,7.060201116,7.302844567
whz,61,Female,61_2,5.94304458,0.106061097,-0.055275488,4.833306699,4.995823937,5.533527524,5.94304458,6.384674391,7.08176469,7.325057535
whz,61.1,Female,61.1_2,5.961586278,0.106015208,-0.055536799,4.848844199,5.011804727,5.550966392,5.961586278,6.404399214,7.103346265,7.347284537
whz,61.2,Female,61.2_2,5.980163049,0.105967589,-0.05579811,4.86442938,5.027831625,5.568445476,5.980163049,6.424152975,7.124945955,7.36952557
whz,61.3,Female,61.3_2,5.998775513,0.105918208,-0.056059421,4.880063212,5.043905555,5.585965539,5.998775513,6.443936128,7.14656392,7.391780684
whz,61.4,Female,61.4_2,6.017424552,0.105867061,-0.056320731,4.895746616,5.060027437,5.603527481,6.017424552,6.463749528,7.16820096,7.414050657
whz,61.5,Female,61.5_2,6.036111279,0.105814172,-0.056582041,4.911480438,5.076198153,5.621132314,6.036111279,6.483594399,7.189858486,7.436336964
whz,61.6,Female,61.6_2,6.054836817,0.105759566,-0.056843352,4.92726552,5.092418585,5.638781056,6.054836817,6.503471984,7.211537931,7.458641109
whz,61.7,Female,61.7_2,6.073602287,0.105703267,-0.057104662,4.94310271,5.108689621,5.656474723,6.073602287,6.523383518,7.233240719,7.480964584
whz,61.8,Female,61.8_2,6.092408811,0.105645301,-0.057365971,4.958992837,5.125012128,5.674214325,6.092408811,6.543330247,7.254968302,7.503308912
whz,61.9,Female,61.9_2,6.111257511,0.105585692,-0.057627281,4.974936747,5.141386993,5.692000881,6.111257511,6.563313411,7.276722109,7.525675592
whz,62,Female,62_2,6.130149507,0.105524464,-0.057888591,4.990935281,5.157815096,5.709835403,6.130149507,6.583334247,7.29850357,7.548066124
whz,62.1,Female,62.1_2,6.149085922,0.105461643,-0.0581499,5.006989264,5.174297303,5.727718902,6.149085922,6.603394005,7.320314145,7.570482042
whz,62.2,Female,62.2_2,6.168067878,0.105397254,-0.058411209,5.023099528,5.190834486,5.745652389,6.168067878,6.62349393,7.342155283,7.592924869
whz,62.3,Female,62.3_2,6.187096495,0.105331321,-0.058672518,5.039266908,5.207427522,5.763636875,6.187096495,6.643635264,7.364028421,7.615396113
whz,62.4,Female,62.4_2,6.206172897,0.105263869,-0.058933827,5.055492235,5.224077281,5.781673373,6.206172897,6.663819255,7.385935017,7.637897305
whz,62.5,Female,62.5_2,6.225298203,0.105194924,-0.059195136,5.071776322,5.24078462,5.799762885,6.225298203,6.684047153,7.407876535,7.66042999
whz,62.6,Female,62.6_2,6.244473536,0.105124509,-0.059456444,5.088120014,5.257550421,5.817906428,6.244473536,6.704320199,7.429854411,7.682995671
whz,62.7,Female,62.7_2,6.263700018,0.10505265,-0.059717752,5.104524124,5.274375541,5.836105005,6.263700018,6.724639649,7.451870119,7.705595902
whz,62.8,Female,62.8_2,6.28297877,0.104979372,-0.05997906,5.120989471,5.291260842,5.854359623,6.28297877,6.745006751,7.473925121,7.728232223
whz,62.9,Female,62.9_2,6.302310914,0.1049047,-0.060240368,5.137516875,5.308207185,5.872671287,6.302310914,6.765422758,7.496020884,7.750906178
whz,63,Female,63_2,6.321697571,0.104828658,-0.060501676,5.154107161,5.325215436,5.891041006,6.321697571,6.785888916,7.518158864,7.773619296
whz,63.1,Female,63.1_2,6.341139863,0.104751272,-0.060762983,5.170761137,5.342286447,5.909469782,6.341139863,6.806406485,7.540340542,7.796373143
whz,63.2,Female,63.2_2,6.360638913,0.104672566,-0.06102429,5.187479626,5.359421083,5.927958623,6.360638913,6.826976713,7.562567382,7.819169257
